Date,Open,High,Low,Close,Adj Close,Volume
2017-08-22,124.730003,125.750000,124.559998,125.639999,119.850311,2089500
2017-08-23,125.070000,125.510002,125.019997,125.260002,119.487816,1268800
2017-08-24,125.500000,125.629997,124.940002,125.059998,119.297035,1381700
2017-08-25,125.419998,125.849998,125.239998,125.360001,119.583214,1158200
2017-08-28,125.660004,125.660004,125.110001,125.410004,119.630920,1787900
2017-08-29,124.589996,125.620003,124.519997,125.459999,119.678619,1312300
2017-08-30,125.459999,126.279999,125.379997,126.120003,120.308205,1730600
2017-08-31,126.459999,127.139999,126.459999,126.980003,121.128571,3384400
2017-09-01,127.230003,127.459999,127.120003,127.269997,121.405197,2122600
2017-09-05,126.919998,127.099998,125.690002,126.290001,120.470360,2319000
2017-09-06,126.690002,126.860001,126.320000,126.639999,120.804222,1449900
2017-09-07,126.959999,126.959999,126.320000,126.580002,120.747002,1218600
2017-09-08,126.349998,126.739998,126.269997,126.489998,120.661148,1206100
2017-09-11,127.150002,127.910004,127.150002,127.849998,121.958458,1346500
2017-09-12,128.039993,128.339996,128.000000,128.339996,122.425888,2264200
2017-09-13,128.229996,128.410004,128.119995,128.399994,122.483124,1692500
2017-09-14,128.229996,128.479996,128.070007,128.360001,122.444969,1493200
2017-09-15,128.309998,128.619995,128.199997,128.600006,122.673912,1531300
2017-09-18,128.850006,129.100006,128.690002,128.910004,122.969635,1792300
2017-09-19,129.059998,129.100006,128.850006,128.970001,123.026871,1241700
2017-09-20,129.100006,129.210007,128.600006,129.179993,123.227188,1729200
2017-09-21,129.119995,129.130005,128.720001,128.820007,122.883774,1730600
2017-09-22,128.139999,128.440002,127.989998,128.369995,122.982437,1601600
2017-09-25,128.240005,128.429993,127.690002,128.160004,122.781265,2186000
2017-09-26,128.350006,128.509995,128.110001,128.190002,122.809998,1851500
2017-09-27,128.839996,129.100006,128.169998,128.889999,123.480621,2374400
2017-09-28,128.820007,129.130005,128.660004,129.100006,123.681816,1484800
2017-09-29,129.020004,129.559998,129.009995,129.520004,124.084198,1720600
2017-10-02,129.639999,130.199997,129.550003,130.199997,124.735626,2678000
2017-10-03,130.309998,130.500000,130.130005,130.460007,124.984734,1825100
2017-10-04,130.449997,130.779999,130.300003,130.589996,125.109268,1495700
2017-10-05,130.729996,131.339996,130.720001,131.279999,125.770317,2387200
2017-10-06,131.059998,131.229996,130.910004,131.190002,125.684090,1635000
2017-10-09,131.300003,131.360001,130.759995,130.929993,125.435013,1012100
2017-10-10,131.250000,131.479996,130.940002,131.240005,125.732010,2915300
2017-10-11,131.240005,131.429993,131.100006,131.419998,125.904442,2012700
2017-10-12,131.160004,131.449997,131.119995,131.259995,125.751152,2171200
2017-10-13,131.550003,131.589996,131.279999,131.360001,125.846947,1543900
2017-10-16,131.500000,131.649994,131.270004,131.449997,125.933174,1789500
2017-10-17,131.500000,131.570007,131.339996,131.509995,125.990646,1340600
2017-10-18,131.800003,131.830002,131.570007,131.679993,126.153534,1470900
